pos_type_id,lang_id,cat_id,token,lemma,tense,level
1,1,0,Ta,bi,pres,1
1,1,0,Bhi,bi,past,1
1,1,0,Nil,bi,pres-neg,2
1,1,0,Ni raibh,bi,past-neg,2
1,1,2,D'ith,ith,past,1
1,1,0,ithim,ith,pres,2
1,1,0,itheann,ith,pres,2
2,1,1,sasta,sasta,,1
2,1,1,bronach,bron,,1
3,1,0,me,me,,1
3,1,0,tu,tu,,1
3,1,0,se,se,,1
3,1,0,si,si,,1
1,1,0,Chuir,cuir,past,2
3,1,3,hata,hata,,2
5,1,0,orm,ar,,2
1,1,2,D'ol,ol,past,1
3,1,2,bainne,bainne,,1
3,1,2,aran,aran,,1
1,1,0,Cheannaigh,ceannaigh,past,3
3,1,3,geansai,geansai,,2
3,1,3,t-leine,leine,,2
0,1,0,mo,mo,,2
0,1,0,do,do,,2
3,1,2,lon,lon,,1
3,1,2,caca,caca,,1
